fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20230829 192452	-0.603547958731845	1188	1	9	5	52332000	89
20230829 192502	-0.41897192345715	7942	51	12	5	51027000	90
20230829 192514	-0.746978232849025	1399	678	13	5	50820000	91
20230829 192525	-0.793137085231648	3499	3	10	5	50907000	92
20230829 192534	-0.280015168344552	6199	3098	20	5	50817000	93
20230829 192540	-0.770748838779162	140	4	3	5	50385000	94
20230829 192549	-0.886660029589607	7987	3518	20	5	49653000	95
20230829 192555	-0.416843786871587	7319	2628	3	5	49767000	96
20230829 192601	-0.126906902535112	7995	3996	3	5	49767000	97
20230829 192609	-0.416974561056108	1586	1	6	5	51840000	98
20230829 192615	-0.578354041304179	7997	1310	4	5	49080000	99
20230829 192621	-0.234789708430553	7939	3964	3	5	49767000	100
20230829 192636	-0.665361980057933	6221	2	20	5	50853000	101
20230829 192649	-0.522236275439143	1368	10	13	5	54669000	102
20230829 192700	-0.279507431542085	7943	4	13	5	50667000	103
20230829 192707	-0.463678721694584	6678	1	5	5	51099000	104
20230829 192717	-0.604446974034753	5796	2892	20	5	50991000	105
20230829 192723	-0.824448206468122	6862	3422	3	5	49767000	106
20230829 192733	-0.864770967714082	1542	4	9	5	54378000	107
20230829 192743	-0.309234675883512	6795	3361	13	5	51201000	108
20230829 192752	-0.999992590620215	5844	2917	18	5	50844000	109
20230829 192804	-0.833328585198389	1435	3	10	5	54597000	110
20230829 192818	-0.528600528001265	7999	3	18	5	50508000	111
20230829 192830	-0.866917013548958	7990	3	15	5	50622000	112
20230829 192839	-0.579241911047388	7384	3692	14	5	50022000	113
20230829 192852	-0.31600470883186	1660	1	13	5	54072000	114
20230829 192900	-0.132742308277045	6602	1	6	5	51378000	115
20230829 192910	-0.951806437147313	7289	2558	15	5	50799000	116
