fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230919 235151	1452	275138	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	39	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.210039854042882	0.648113759392765	415	34490	23621	92083446.7766117	1
20230919 235429	1452	275138	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	104	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.101462577702877	0.571753134236561	478	41005	18890	90451919.0404798	2
20230919 235655	1452	275138	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	42	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.164713196618912	0.436822560173976	626	26362	20943	90127341.8290855	3
20230919 235828	1452	275138	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	145	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.057736334222522	0.696752096992146	97	33985	19546	92353484.2578711	4
20230920 000529	1452	275138	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1116	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.233969414455499	0.284040624643926	673	16512	23288	99065235.3823088	5
20230920 000745	1452	275138	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	163	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.0217664614826031	0.809260890107984	955	11515	21969	92066793.1034483	6
20230920 001654	1452	275138	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1270	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.155260791788866	0.452162932524927	991	20048	18664	102986410.794603	7
20230920 002550	1452	275138	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3620	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.108843362814379	0.911012986931182	340	48686	24764	100556995.502249	8
20230920 002930	1452	275138	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	611	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.179112183046605	0.814683904279053	154	5192	19534	99465106.4467766	9
20230920 003139	1452	275138	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	262	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.0393694684657616	0.0773835994193013	13	15028	22570	93639085.4572714	10
20230920 003426	1452	275138	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	172	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.13006486897671	0.195112400565181	714	2595	24451	104128499.250375	11
20230920 004511	1452	275138	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1918	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.229793907786285	0.352576062896742	252	46115	22786	99727637.1814093	12
20230920 004755	1452	275138	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	609	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.274257848924755	0.945928959423495	864	24423	23161	103146385.307346	13
20230920 005212	1452	275138	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	584	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.256988819292438	0.223512239863466	294	8677	22625	102642601.1994	14
20230920 005328	1452	275138	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	62	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.290106627194252	0.0625461552296999	785	38564	22359	85058592.2038981	15
20230920 005631	1452	275138	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	104	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.0778121775388562	0.535183618039752	563	30323	21209	92861515.7421289	16
20230920 005907	1452	275138	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	480	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.283343902899596	0.956289399982386	1023	21275	21941	104560088.455772	17
20230920 010107	1452	275138	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	184	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.299967085585976	0.101739555236372	449	4394	17622	99890221.8890555	18
20230920 010313	1452	275138	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	345	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.295221417375487	0.997821404284729	1023	22390	21155	104419857.571214	19
