fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20230903 001205	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	294	TRUE	150523	0.0393275612883409	0.651220771562587	2501	891	12716	67695000	38
20230903 001421	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	764	TRUE	150523	0.0100047765608476	0.585095935592375	2336	197	13434	67710000	39
20230903 001535	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	349	TRUE	150523	0.0362541836548244	0.518050737361773	2766	323	12231	68550000	40
20230903 001637	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	418	TRUE	150523	0.0419591606429944	0.565805390435797	3216	1024	14997	66975000	41
20230903 001746	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	396	TRUE	150523	0.0265626155959307	0.483557964822888	2783	341	12736	67155000	42
20230903 001831	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	240	TRUE	150523	0.0458463886095092	0.562961418594746	2381	294	11480	68280000	43
20230903 002110	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1280	TRUE	150523	0.0214170443266955	0.200315351633348	1663	21	12145	69645000	44
20230903 002330	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1000	TRUE	150523	0.0102382536817117	0.20107121171223	2560	347	12011	67290000	45
20230903 002358	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	160	TRUE	150523	0.0532337301398643	0.559181811277545	565	16	12191	67710000	46
20230903 002451	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	565	TRUE	150523	0.0692328725923263	0.20118656568937	598	16	14168	66465000	47
20230903 002519	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	222	TRUE	150523	0.0899122284853597	0.200123182931484	2534	16	12102	66540000	48
20230903 002904	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2532	TRUE	150523	0.0100130572885288	0.794830405634338	6203	1023	12139	67395000	49
20230903 003141	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1259	TRUE	150523	0.0107349975968177	0.248417083079982	5781	16	13011	66090000	50
20230903 003237	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	472	TRUE	150523	0.107249573934276	0.541950979493756	7665	1024	12098	66195000	51
20230903 003342	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	465	TRUE	150523	0.0216406165998124	0.922213286389871	3440	67	12091	67890000	52
20230903 003455	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	593	TRUE	150523	0.0329300987543343	0.565085472936569	3622	16	12047	68025000	53
20230903 003729	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1105	TRUE	150523	0.010457834613343	0.911367498374009	2143	1022	11860	68460000	54
20230903 003840	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	223	TRUE	150523	0.0236438935632525	0.260965413544513	56	322	12172	65010000	55
20230903 004110	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1279	TRUE	150523	0.0102518037768626	0.995736105261651	3639	1022	11296	67035000	56
20230903 004212	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	255	TRUE	150523	0.0269040110514139	0.556275374775252	1758	236	12159	68655000	57
20230903 004412	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1110	TRUE	150523	0.014701163009927	0.202335314009859	1623	16	13016	67875000	58
20230903 004437	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	176	TRUE	150523	0.0884261510422621	0.262234367017734	5912	1024	14462	64500000	59
20230903 004511	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	244	TRUE	150523	0.0942618295049555	0.577579090984771	5028	394	12118	65775000	60
20230903 004657	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1139	TRUE	150523	0.0164442439263042	0.943095706846236	7921	291	13012	66330000	61
