envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	15000	-9000	-9000	111000	-9000	-9000	
4	12000	-12000	-12000	108000	-12000	-12000	
5	9000	-15000	-15000	105000	-15000	-15000	
6	54000	102000	-18000	102000	102000	-18000	
7	75000	219000	-21000	99000	99000	-21000	
8	96000	216000	96000	96000	96000	-24000	
9	93000	213000	93000	93000	93000	-27000	
10	90000	210000	90000	90000	90000	-30000	
11	135000	207000	207000	87000	207000	-33000	
12	180000	204000	324000	204000	204000	-36000	
13	177000	201000	321000	201000	201000	-39000	
14	198000	198000	318000	198000	198000	78000	
15	267000	195000	315000	315000	315000	195000	
16	288000	192000	432000	312000	312000	192000	
17	309000	189000	429000	309000	309000	309000	
18	378000	306000	546000	426000	306000	306000	
19	399000	423000	543000	423000	303000	303000	
20	420000	420000	660000	420000	3e+05	3e+05	
21	489000	537000	777000	417000	417000	297000	
22	558000	654000	894000	414000	534000	294000	
23	627000	771000	891000	411000	651000	411000	
24	696000	768000	1008000	528000	768000	408000	
25	717000	765000	1005000	525000	765000	525000	
26	810000	882000	1122000	642000	882000	522000	
27	831000	879000	1119000	639000	999000	519000	
28	828000	876000	1116000	636000	996000	516000	
29	873000	873000	1113000	753000	993000	633000	
30	894000	870000	1110000	870000	990000	630000	
31	915000	867000	1107000	867000	1107000	627000	
32	912000	864000	1104000	864000	1104000	624000	
33	957000	861000	1101000	861000	1221000	741000	
34	1002000	978000	1098000	978000	1218000	738000	
35	1047000	975000	1215000	1095000	1215000	735000	
36	1044000	972000	1212000	1092000	1212000	732000	
37	1089000	969000	1209000	1209000	1329000	729000	
38	1110000	966000	1206000	1326000	1326000	726000	
39	1131000	1083000	1203000	1323000	1323000	723000	
40	1128000	1080000	1200000	1320000	1320000	720000	
41	1149000	1077000	1197000	1317000	1317000	837000	
42	1194000	1074000	1314000	1314000	1434000	834000	
43	1239000	1191000	1311000	1431000	1431000	831000	
44	1260000	1188000	1308000	1548000	1428000	828000	
45	1281000	1185000	1425000	1545000	1425000	825000	
46	1302000	1182000	1422000	1662000	1422000	822000	
47	1347000	1179000	1539000	1659000	1539000	819000	
48	1392000	1296000	1536000	1656000	1536000	936000	
49	1413000	1293000	1533000	1773000	1533000	933000	
50	1410000	1290000	1530000	1770000	1530000	930000	
51	1455000	1287000	1647000	1767000	1647000	927000	
52	1452000	1284000	1644000	1764000	1644000	924000	
53	1497000	1281000	1641000	1761000	1761000	1041000	
54	1518000	1278000	1638000	1758000	1878000	1038000	
55	1587000	1395000	1755000	1875000	1875000	1035000	
56	1680000	1512000	1752000	1992000	1992000	1152000	
57	1725000	1509000	1869000	1989000	1989000	1269000	
58	1746000	1506000	1866000	2106000	1986000	1266000	
59	1815000	1623000	1983000	2223000	1983000	1263000	
60	1812000	1620000	1980000	2220000	1980000	1260000	
61	1833000	1617000	1977000	2217000	1977000	1377000	
62	1902000	1734000	2094000	2214000	2094000	1374000	
63	1947000	1851000	2091000	2211000	2211000	1371000	
64	1992000	1968000	2088000	2208000	2208000	1488000	
65	2037000	2085000	2085000	2325000	2205000	1485000	
66	2058000	2082000	2082000	2322000	2322000	1482000	
67	2103000	2199000	2199000	2319000	2319000	1479000	
68	2124000	2316000	2196000	2316000	2316000	1476000	
69	2169000	2433000	2193000	2433000	2313000	1473000	
