fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230915 114218	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	563	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.137905952107836	0.548484877345501	942	101	12378	66770407.796102	23
20230915 114622	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	162	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.148025697120713	0.949233486823846	958	126	11844	65072377.8110945	24
20230915 115023	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	258	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.157160285188842	0.378923896244387	964	101	12089	65780976.011994	25
20230915 115605	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	479	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.137144675853972	0.510018000111209	916	104	12070	66206371.814093	26
20230915 120023	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	168	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.134563240183074	0.519955373495348	891	101	13379	65997992.5037481	27
20230915 120419	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	414	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.132694838872764	0.531313916720529	919	976	12748	63825985.0074963	28
20230915 120740	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	384	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.165547268043452	0.171564661633782	943	102	10368	64806224.8875562	29
20230915 121750	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	852	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.138093318899279	0.606571708030795	828	101	11315	67230952.023988	30
20230915 122605	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1129	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.138656109907805	0.750627477275975	778	100	12377	66195176.9115442	31
20230915 123302	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1106	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.138743572643167	0.658559682509221	790	102	11183	66636427.2863568	32
