fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230912 233638	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	433	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.262112463610537	0.337188957587078	435	11187	11659	67746778.1109445	24
20230912 233949	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	260	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.14584689496161	0.381119726678821	1024	2615	12577	68906421.2893553	25
20230912 234641	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1423	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.147329998168194	0.313393673776403	1024	17054	11012	68177673.1634183	26
20230912 235154	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	260	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.14960533746755	0.467067982227132	1024	141	12579	66974184.4077961	27
20230912 235513	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	600	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.286922792942161	0.2276144219793	820	16138	10836	68000425.7871064	28
20230912 235614	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	46	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.162332124861353	0.874981202262052	442	36124	12498	63975505.2473763	29
20230913 000025	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	574	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.153748754266029	0.391566566069538	1009	11294	10861	68901557.7211394	30
20230913 000145	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	43	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.142397675152271	0.122052093208365	1021	7594	15261	66076850.0749625	31
20230913 000654	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	758	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.166739394791106	0.466124297787234	956	15468	12618	67962251.874063	32
20230913 001008	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	294	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.152141676953626	0.370990098329551	594	4742	11257	69406451.2743628	33
20230913 001258	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	245	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.169037135881834	0.382092230560571	644	6963	12350	69364572.7136432	34
20230913 001914	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1018	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.147154128272413	0.388476028340568	765	6265	12320	68193943.0284858	35
20230913 002342	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	623	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.176057043049975	0.357537816382259	455	4002	11354	66750833.5832084	36
20230913 002752	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	550	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.160358253913447	0.395516918937999	599	9571	9515	67886424.2878561	37
20230913 003033	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	203	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.159291466424415	0.371150739632501	1015	5754	13349	68241635.6821589	38
20230913 003628	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1075	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.177711712413274	0.376785989324911	978	19520	12190	67808590.7046477	39
20230913 004029	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	467	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.132421085130954	0.386229171424862	655	4162	12816	68786422.7886057	40
20230913 004701	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	895	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.144505515178586	0.330855685679805	717	776	11085	66738583.2083958	41
20230913 005033	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	438	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.210034343150613	0.370038114899269	966	11043	13078	68272506.7466267	42
20230913 005445	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	511	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.126220703943019	0.412978900015246	648	5322	11106	69127997.0014993	43
20230913 005721	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	353	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.175012052491281	0.200228977378675	626	4258	11648	66941997.0014993	44
20230913 010156	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	630	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.129166670016324	0.402673166181959	898	8530	10893	68533173.9130435	45
20230913 010647	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	933	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.291393378406885	0.333609247107433	906	44114	12305	67689197.9010495	46
20230913 011211	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	831	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.134843073084716	0.400097607746776	875	7674	12295	66846394.3028486	47
