Feature	Gain	Cover	Frequency	pos
canarito1	0.765751258594953	0.0991496180708732	0.0330767380322348	1
ctrx_quarter	0.011800736902724	0.0030016334053003	0.00161173923502526	2
rf_016_022	0.00751962917701537	0.00400330215065355	0.000938176569641569	3
ctrx_quarter_normalizado	0.00636272745139109	0.00380240316361269	0.00214096704354102	4
rf_006_019	0.00529037548945996	0.00220735852994577	0.000625451046427712	5
cpayroll_trx	0.00506192551516281	0.0119189273712911	0.00303103199422661	6
rf_017_021	0.00381783872620897	0.00316234301462841	0.000697618474861679	7
rf_001_013	0.00367503437488459	0.00352918696567665	0.000793841712773635	8
mpayroll_sobre_edad_rank	0.00363959034264913	0.00902175591648827	0.00240558094779889	9
mcuentas_saldo_rank	0.00361856728742112	0.006948744251856	0.00346403656483041	10
mprestamos_personales_rank	0.00325189761741121	0.0234165805728369	0.0045706038008179	11
mpasivos_margen_rank	0.00297341876636341	0.00253220129862099	0.00182824152032716	12
rf_013_016	0.00294149076912318	0.000540024862750091	0.000384892951647823	13
rf_009_026	0.0026923980603325	0.00305785852223785	0.000601395236949723	14
rf_003_018	0.00207514820530573	0.00207480092739941	0.00134712533076738	15
ccomisiones_mantenimiento_tend6	0.00171648058407665	0.00974080004126068	0.00247774837623286	16
rf_007_026	0.00157130035230235	1.51396989729105e-05	7.21674284339668e-05	17
mpayroll_rank	0.00146371435156916	0.000193905364697526	0.000144334856867934	18
mpasivos_margen_rank_lag1	0.00141667004983814	0.00436066441790431	0.00187635313928314	19
cdescubierto_preacordado	0.00107459441757612	0.00670992416509851	0.00192446475823912	20
mcaja_ahorro_rank	0.00101020256958882	0.00103843457304701	0.00146740437815733	21
mcuenta_corriente_rank_tend6	0.000979570661679386	0.0051402081660989	0.00240558094779889	22
mprestamos_personales_rank_lag1	0.000963516905533925	0.000219515773028958	0.000360837142169834	23
canarito1392	0.000932911374001744	0.00450544536199999	0.00228530190040895	24
rf_008_013	0.000923809420700699	0.000871771086196139	0.0002165022853019	25
cproductos_delta2	0.000909788096706627	0.0054833718584149	0.0012990137118114	26
ccaja_ahorro	0.000755161323676361	0.00397442598555503	0.00127495790233341	27
mpasivos_margen_rank_tend6	0.000695432209340436	0.00413031726522677	0.00158768342554727	28
ccomisiones_mantenimiento_delta1	0.000667513624963238	0.00119007107039061	0.000505171999037768	29
mpayroll_sobre_edad_rank_lag1	0.000662546104280837	6.56053622159454e-05	0.000144334856867934	30
mtarjeta_visa_consumo_rank	0.000637195343189191	0.00192841950889155	0.0012990137118114	31
cproductos	0.000628803602594729	0.00159846818368592	0.0015155159971133	32
