envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	21000	-3000	-3000	-3000	117000	-3000	
2	18000	-6000	-6000	-6000	114000	-6000	
3	39000	111000	-9000	-9000	111000	-9000	
4	60000	228000	-12000	-12000	108000	-12000	
5	81000	225000	105000	-15000	105000	-15000	
6	102000	342000	102000	-18000	102000	-18000	
7	99000	339000	99000	-21000	99000	-21000	
8	120000	336000	96000	-24000	216000	-24000	
9	165000	333000	213000	93000	213000	-27000	
10	162000	330000	210000	90000	210000	-30000	
11	207000	447000	327000	87000	207000	-33000	
12	228000	444000	324000	84000	204000	84000	
13	273000	441000	321000	201000	201000	201000	
14	318000	558000	318000	198000	198000	318000	
15	339000	555000	315000	195000	195000	435000	
16	360000	552000	312000	192000	312000	432000	
17	405000	549000	309000	309000	429000	429000	
18	474000	546000	306000	426000	546000	546000	
19	495000	663000	303000	423000	543000	543000	
20	540000	660000	420000	420000	540000	660000	
21	561000	657000	417000	537000	537000	657000	
22	582000	654000	534000	534000	534000	654000	
23	651000	651000	651000	531000	651000	771000	
24	672000	648000	648000	528000	768000	768000	
25	693000	645000	765000	525000	765000	765000	
26	738000	762000	762000	522000	762000	882000	
27	759000	759000	879000	519000	759000	879000	
28	804000	876000	876000	516000	756000	996000	
29	825000	873000	993000	513000	753000	993000	
30	870000	990000	990000	510000	750000	1110000	
31	963000	1107000	987000	627000	867000	1227000	
32	1008000	1224000	984000	744000	864000	1224000	
33	1005000	1221000	981000	741000	861000	1221000	
34	1050000	1218000	978000	858000	858000	1338000	
35	1095000	1335000	975000	975000	855000	1335000	
36	1116000	1332000	972000	972000	852000	1452000	
37	1185000	1329000	1089000	1089000	849000	1569000	
38	1182000	1326000	1086000	1086000	846000	1566000	
39	1251000	1323000	1203000	1203000	843000	1683000	
40	1296000	1440000	1320000	1200000	840000	1680000	
41	1341000	1437000	1317000	1197000	957000	1797000	
42	1362000	1434000	1314000	1194000	1074000	1794000	
43	1455000	1551000	1431000	1311000	1071000	1911000	
44	1500000	1548000	1548000	1308000	1068000	2028000	
45	1593000	1665000	1665000	1425000	1185000	2025000	
46	1638000	1782000	1782000	1422000	1182000	2022000	
47	1707000	1779000	1899000	1539000	1299000	2019000	
48	1728000	1776000	2016000	1536000	1296000	2016000	
49	1797000	1893000	2013000	1533000	1413000	2133000	
50	1818000	1890000	2010000	1650000	1410000	2130000	
51	1887000	2007000	2127000	1767000	1407000	2127000	
52	1932000	2004000	2124000	1764000	1524000	2244000	
53	1953000	2001000	2121000	1761000	1641000	2241000	
54	2022000	1998000	2238000	1758000	1758000	2358000	
55	2067000	1995000	2235000	1875000	1875000	2355000	
56	2088000	2112000	2232000	1872000	1872000	2352000	
57	2133000	2229000	2349000	1869000	1869000	2349000	
58	2202000	2346000	2466000	1866000	1986000	2346000	
59	2247000	2343000	2463000	1983000	1983000	2463000	
60	2340000	2460000	2460000	2100000	2100000	2580000	
61	2385000	2457000	2577000	2097000	2097000	2697000	
62	2406000	2574000	2574000	2094000	2094000	2694000	
63	2451000	2571000	2571000	2091000	2211000	2811000	
64	2448000	2568000	2568000	2088000	2208000	2808000	
65	2493000	2565000	2565000	2085000	2325000	2925000	
66	2514000	2562000	2562000	2082000	2442000	2922000	
67	2559000	2679000	2559000	2079000	2439000	3039000	
68	2652000	2676000	2676000	2196000	2556000	3156000	
69	2673000	2793000	2673000	2193000	2553000	3153000	
70	2694000	2910000	2670000	2190000	2550000	3150000	
71	2763000	3027000	2667000	2307000	2667000	3147000	
72	2832000	3144000	2784000	2304000	2784000	3144000	
73	2877000	3141000	2901000	2421000	2781000	3141000	
74	2946000	3138000	2898000	2538000	2898000	3258000	
75	3015000	3255000	2895000	2535000	3015000	3375000	
76	3060000	3372000	3012000	2532000	3012000	3372000	
77	3105000	3489000	3129000	2529000	3009000	3369000	
78	3174000	3606000	3246000	2526000	3006000	3486000	
79	3243000	3603000	3243000	2643000	3123000	3603000	
80	3288000	3600000	3360000	2640000	3120000	3720000	
81	3309000	3597000	3357000	2757000	3117000	3717000	
82	3378000	3714000	3474000	2754000	3234000	3714000	
83	3423000	3831000	3471000	2751000	3351000	3711000	
84	3444000	3828000	3468000	2748000	3468000	3708000	
85	3513000	3825000	3465000	2865000	3585000	3825000	
86	3558000	3942000	3462000	2982000	3582000	3822000	
87	3627000	3939000	3579000	3099000	3699000	3819000	
88	3672000	4056000	3576000	3216000	3696000	3816000	
89	3717000	4053000	3573000	3333000	3813000	3813000	
90	3762000	4050000	3570000	3450000	3810000	3930000	
91	3807000	4047000	3687000	3447000	3927000	3927000	
92	3804000	4044000	3684000	3444000	3924000	3924000	
93	3825000	4041000	3681000	3441000	4041000	3921000	
94	3894000	4158000	3678000	3558000	4158000	3918000	
95	3915000	4155000	3675000	3555000	4155000	4035000	
96	3984000	4152000	3792000	3672000	4272000	4032000	
97	4005000	4149000	3789000	3669000	4269000	4149000	
98	4002000	4146000	3786000	3666000	4266000	4146000	
99	4023000	4143000	3783000	3663000	4383000	4143000	
100	4092000	4260000	3780000	3780000	4500000	4140000	
101	4137000	4257000	3897000	3897000	4497000	4137000	
102	4182000	4254000	4014000	4014000	4494000	4134000	
103	4275000	4371000	4131000	4131000	4611000	4131000	
104	4296000	4368000	4128000	4128000	4728000	4128000	
105	4341000	4365000	4245000	4125000	4845000	4125000	
106	4386000	4482000	4242000	4122000	4842000	4242000	
107	4455000	4599000	4359000	4119000	4959000	4239000	
108	4500000	4716000	4476000	4116000	4956000	4236000	
109	4545000	4713000	4593000	4113000	4953000	4353000	
110	4566000	4710000	4590000	4230000	4950000	4350000	
111	4611000	4707000	4707000	4227000	4947000	4467000	
112	4608000	4704000	4704000	4224000	4944000	4464000	
113	4629000	4701000	4701000	4221000	5061000	4461000	
114	4722000	4818000	4818000	4218000	5178000	4578000	
115	4791000	4935000	4815000	4335000	5295000	4575000	
116	4812000	4932000	4932000	4332000	5292000	4572000	
117	4857000	4929000	4929000	4449000	5409000	4569000	
118	4902000	4926000	4926000	4446000	5526000	4686000	
119	4947000	4923000	4923000	4443000	5643000	4803000	
120	4992000	4920000	4920000	4560000	5640000	4920000	
121	5013000	5037000	4917000	4557000	5637000	4917000	
122	5058000	5034000	5034000	4674000	5634000	4914000	
123	5127000	5031000	5031000	4791000	5751000	5031000	
124	5172000	5028000	5148000	4788000	5868000	5028000	
125	5241000	5025000	5265000	4905000	5985000	5025000	
126	5310000	5142000	5262000	4902000	6102000	5142000	
127	5331000	5139000	5379000	4899000	6099000	5139000	
128	5352000	5136000	5376000	5016000	6096000	5136000	
129	5397000	5133000	5493000	5133000	6093000	5133000	
130	5418000	5130000	5490000	5250000	6090000	5130000	
131	5487000	5247000	5607000	5247000	6207000	5127000	
132	5508000	5244000	5724000	5244000	6204000	5124000	
133	5553000	5241000	5721000	5361000	6201000	5241000	
134	5622000	5358000	5838000	5358000	6318000	5238000	
135	5715000	5475000	5955000	5475000	6315000	5355000	
136	5736000	5472000	6072000	5472000	6312000	5352000	
137	5757000	5469000	6069000	5469000	6429000	5349000	
138	5874000	5586000	6186000	5586000	6546000	5466000	
139	5943000	5583000	6183000	5703000	6663000	5583000	
140	5964000	5580000	6180000	5820000	6660000	5580000	
141	6009000	5577000	6177000	5937000	6657000	5697000	
142	6054000	5694000	6294000	5934000	6654000	5694000	
143	6099000	5691000	6411000	6051000	6651000	5691000	
144	6144000	5688000	6528000	6168000	6648000	5688000	
145	6237000	5805000	6525000	6285000	6765000	5805000	
146	6306000	5922000	6522000	6402000	6882000	5802000	
147	6375000	6039000	6639000	6399000	6879000	5919000	
148	6420000	6036000	6756000	6516000	6876000	5916000	
149	6465000	6033000	6873000	6513000	6993000	5913000	
150	6582000	6150000	6990000	6630000	7110000	6030000	
151	6579000	6147000	6987000	6627000	7107000	6027000	
152	6624000	6144000	6984000	6744000	7104000	6144000	
153	6645000	6141000	6981000	6741000	7101000	6261000	
154	6666000	6138000	7098000	6738000	7098000	6258000	
