envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	21000	-3000	-3000	117000	-3000	-3000	
2	18000	-6000	-6000	114000	-6000	-6000	
3	39000	-9000	-9000	111000	-9000	111000	
4	36000	-12000	-12000	108000	-12000	108000	
5	57000	105000	-15000	105000	-15000	105000	
6	102000	102000	102000	102000	-18000	222000	
7	123000	99000	99000	99000	-21000	339000	
8	120000	96000	96000	96000	-24000	336000	
9	165000	213000	93000	93000	-27000	453000	
10	162000	210000	90000	90000	-30000	450000	
11	183000	207000	87000	87000	-33000	567000	
12	180000	204000	84000	84000	-36000	564000	
13	249000	201000	201000	201000	81000	561000	
14	294000	198000	318000	198000	198000	558000	
15	291000	195000	315000	195000	195000	555000	
16	336000	312000	312000	192000	312000	552000	
17	357000	309000	309000	189000	309000	669000	
18	378000	306000	306000	186000	426000	666000	
19	399000	303000	423000	183000	423000	663000	
20	420000	3e+05	420000	180000	540000	660000	
21	489000	417000	537000	177000	657000	657000	
22	558000	414000	654000	294000	654000	774000	
23	603000	411000	771000	411000	651000	771000	
24	648000	528000	768000	408000	648000	888000	
25	693000	525000	765000	525000	765000	885000	
26	714000	642000	762000	522000	762000	882000	
27	711000	639000	759000	519000	759000	879000	
28	732000	636000	756000	516000	876000	876000	
29	729000	633000	753000	513000	873000	873000	
30	774000	750000	750000	510000	990000	870000	
31	843000	747000	867000	627000	987000	987000	
32	864000	744000	864000	624000	984000	1104000	
33	885000	741000	861000	621000	1101000	1101000	
34	906000	738000	978000	618000	1098000	1098000	
35	903000	735000	975000	615000	1095000	1095000	
36	924000	732000	972000	612000	1212000	1092000	
37	993000	849000	969000	729000	1209000	1209000	
38	1038000	846000	966000	846000	1326000	1206000	
39	1107000	963000	1083000	843000	1323000	1323000	
40	1152000	1080000	1080000	840000	1320000	1440000	
41	1245000	1197000	1077000	957000	1437000	1557000	
42	1242000	1194000	1074000	954000	1434000	1554000	
43	1287000	1191000	1191000	951000	1431000	1671000	
44	1332000	1308000	1308000	948000	1428000	1668000	
45	1353000	1425000	1305000	945000	1425000	1665000	
46	1398000	1422000	1422000	942000	1542000	1662000	
47	1443000	1539000	1419000	939000	1539000	1779000	
48	1488000	1536000	1536000	936000	1656000	1776000	
49	1509000	1533000	1533000	933000	1653000	1893000	
50	1602000	1530000	1650000	1050000	1770000	2010000	
51	1623000	1527000	1647000	1047000	1887000	2007000	
52	1668000	1524000	1764000	1164000	1884000	2004000	
53	1713000	1521000	1761000	1281000	2001000	2001000	
54	1734000	1638000	1758000	1278000	1998000	1998000	
55	1827000	1635000	1875000	1395000	2115000	2115000	
56	1944000	1752000	1992000	1512000	2232000	2232000	
57	2037000	1869000	2109000	1509000	2349000	2349000	
58	2106000	1986000	2106000	1626000	2346000	2466000	
59	2127000	1983000	2103000	1623000	2343000	2583000	
60	2196000	1980000	2220000	1740000	2460000	2580000	
61	2241000	2097000	2337000	1737000	2457000	2577000	
62	2238000	2094000	2334000	1734000	2454000	2574000	
63	2307000	2211000	2331000	1851000	2571000	2571000	
64	2352000	2328000	2328000	1848000	2568000	2688000	
65	2445000	2445000	2445000	1965000	2565000	2805000	
66	2514000	2562000	2562000	1962000	2562000	2922000	
67	2535000	2559000	2559000	1959000	2679000	2919000	
68	2580000	2676000	2556000	1956000	2796000	2916000	
69	2673000	2793000	2673000	2073000	2793000	3033000	
70	2742000	2910000	2670000	2190000	2790000	3150000	
71	2787000	2907000	2787000	2187000	2787000	3267000	
72	2808000	2904000	2784000	2184000	2784000	3384000	
73	2877000	3021000	2781000	2301000	2781000	3501000	
74	2946000	3138000	2778000	2418000	2898000	3498000	
