Feature	Gain	Cover	Frequency
rf_013_016	0.128723593093319	0.0022855717471949	0.00272636151019044
rf_018_027	0.0348199240250102	0.0014314121099762	0.00269963247577681
vm_status04_tend6	0.0263368870603253	0.000573008276848899	0.000160374206481791
Visa_status	0.024787769607362	0.000776894715623867	0.000374206481790845
cdescubierto_preacordado_delta2	0.0236322063820575	0.00159978658164161	0.000387570998997661
rf_004_022	0.0205297720713883	0.00186469010894745	0.00339458737053124
rf_013_026	0.0158313566586892	0.00088878721576856	0.000681590377547611
ctrx_quarter_normalizado_lag1	0.0142123948646658	0.00078669321211538	0.000454393585031741
ctrx_quarter	0.0104253215492627	0.000882742553961305	0.000441029067824925
rf_008_022	0.0104100526160463	0.000788843196195434	0.00217841630471099
mcomisiones_otras_rank	0.00865329232797078	0.00238286499132829	0.00356832609421985
mcaja_ahorro_rank	0.00844653010805845	0.00227599912832201	0.00104243234213164
rf_017_021	0.0080987569538581	0.00101731187049218	0.000267290344136318
mcuentas_saldo_rank	0.00743528463533478	0.00456615785347782	0.00175075175409288
foto_mes	0.00706551049783085	0.00287661231564592	0.00243234213164049
mprestamos_personales_rank	0.00590447371214791	0.00257612888048777	0.000735048446374875
mpayroll_sobre_edad_rank	0.00571243689853793	0.000284742803641217	0.000133645172068159
rf_014_025	0.00553742941010795	0.0013479595105863	0.00273972602739726
rf_016_022	0.0054221209193098	0.000491554859165485	0.000200467758102239
rf_009_026	0.0053221244098542	0.000467826373680817	0.000347477447377214
cdescubierto_preacordado	0.00521836802067744	0.00151667086113715	0.00132308720347477
rf_003_018	0.00496389306563477	0.00137356744851544	0.00267290344136318
mrentabilidad_annual_rank_lag2	0.00480872162498166	0.00293885599533684	0.00450384229869696
mprestamos_personales_rank_lag1	0.0046121031666223	0.00184231073249742	0.000654861343133979
mpasivos_margen_rank	0.00447775263256049	0.00226679898841458	0.00197794854660875
mcuentas_saldo_rank_tend6	0.00430851454017162	0.0026688015746621	0.00264617440694955
mcuentas_saldo_rank_delta2	0.00425812084799561	0.00260004699162758	0.00442365519545606
mprestamos_personales_rank_delta2	0.00385497584894074	0.00256182199420794	0.00088205813564985
rf_017_022	0.00381529794382647	0.00015841032434376	0.000120280654861343
mcomisiones_otras_rank_tend6	0.00347976485529252	0.00229311773282452	0.00314066154360174
mcomisiones_rank_lag2	0.00335121024743475	0.00226684089003471	0.0052121617106582
rf_003_019	0.00327019949625158	0.000259230909875071	0.000106916137654527
rf_010_019	0.00325955849118334	0.00090564611714406	0.00205813564984965
mactivos_margen_rank_delta2	0.00319107374088947	0.00308960875333221	0.00633478115603074
thomebanking	0.00315859379540379	0.00162736088980979	0.0043701971266288
mrentabilidad_rank_delta2	0.00306357926483217	0.00284197006971823	0.00576010691613765
mrentabilidad_annual_rank_delta2	0.00304243515432927	0.0032262726438491	0.00658870698296024
mcomisiones_rank_delta2	0.00301328986672711	0.00254504617175774	0.00539926495155363
mactivos_margen_rank	0.00301000923598373	0.00256849532518013	0.00248580020046776
mrentabilidad_annual_rank_delta1	0.00293265489498044	0.00291549846775622	0.00614767791513532
mcomisiones_mantenimiento_rank_tend6	0.00281995865997502	0.00227990050596254	0.00167056465085199
ctrx_quarter_normalizado_delta2	0.00271926839375486	0.00144381531547633	0.00192449047778149
mprestamos_personales_rank_delta1	0.00271907308351971	0.00364040464454388	0.000948880721683929
Visa_mpagominimo_rank	0.00269917231724687	0.001474312053408	0.00249916471767457
mactivos_margen_rank_delta1	0.00264436847047936	0.00300442170935177	0.00511861009021049
mpayroll_rank	0.0026392840977993	0.00109580863453049	0.000200467758102239
thomebanking_lag2	0.00256385927445718	0.00201682033290793	0.00614767791513532
mcomisiones_otras_rank_delta2	0.00251516073421819	0.00189163513228298	0.00499832943534915
rf_004_021	0.00250069459487624	0.00119912357968707	0.000681590377547611
tcallcenter	0.00248568140803851	0.00139678029418385	0.00106916137654527
cdescubierto_preacordado_lag1	0.00246282866078705	0.00144356564411144	0.00126962913464751
rf_006_019	0.0024511683883761	0.00117220542843636	0.00368860674908119
Master_fechaalta	0.00244054913622375	0.00264142746714741	0.00426328098897427
mcuenta_corriente_rank	0.00242597574479331	0.00241282211461871	0.00204477113264283
rf_004_020	0.00237926200013996	0.000229036175063761	0.000133645172068159
Master_mfinanciacion_limite_rank_delta2	0.00235209524746771	0.00266374198119325	0.00581356498496492
