envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	18000	-6000	-6000	-6000	-6000	114000	
3	39000	-9000	-9000	111000	-9000	111000	
4	60000	-12000	-12000	228000	-12000	108000	
5	81000	-15000	105000	225000	-15000	105000	
6	78000	-18000	102000	222000	-18000	102000	
7	99000	-21000	219000	219000	-21000	99000	
8	144000	96000	216000	216000	96000	96000	
9	165000	93000	213000	333000	93000	93000	
10	186000	90000	210000	330000	210000	90000	
11	207000	87000	207000	327000	327000	87000	
12	252000	204000	204000	324000	324000	204000	
13	249000	201000	201000	321000	321000	201000	
14	270000	198000	198000	318000	438000	198000	
15	291000	195000	195000	315000	435000	315000	
16	336000	192000	192000	432000	552000	312000	
17	429000	309000	309000	549000	669000	309000	
18	474000	426000	426000	546000	666000	306000	
19	519000	543000	423000	663000	663000	303000	
20	564000	540000	540000	660000	780000	3e+05	
21	609000	657000	537000	777000	777000	297000	
22	702000	774000	654000	774000	894000	414000	
23	723000	771000	651000	771000	891000	531000	
24	792000	768000	648000	888000	1008000	648000	
25	861000	765000	765000	1005000	1005000	765000	
26	882000	762000	762000	1002000	1002000	882000	
27	951000	759000	879000	1119000	999000	999000	
28	996000	756000	876000	1236000	1116000	996000	
29	1065000	753000	873000	1353000	1233000	1113000	
30	1062000	750000	870000	1350000	1230000	1110000	
31	1059000	747000	867000	1347000	1227000	1107000	
32	1104000	744000	984000	1344000	1344000	1104000	
33	1101000	741000	981000	1341000	1341000	1101000	
34	1122000	858000	978000	1338000	1338000	1098000	
35	1191000	975000	1095000	1335000	1335000	1215000	
36	1236000	1092000	1092000	1332000	1332000	1332000	
37	1305000	1209000	1089000	1449000	1449000	1329000	
38	1326000	1326000	1086000	1446000	1446000	1326000	
39	1419000	1443000	1203000	1563000	1563000	1323000	
40	1464000	1560000	1200000	1560000	1560000	1440000	
41	1461000	1557000	1197000	1557000	1557000	1437000	
42	1482000	1554000	1194000	1554000	1554000	1554000	
43	1527000	1551000	1311000	1671000	1551000	1551000	
44	1548000	1548000	1308000	1668000	1668000	1548000	
45	1593000	1545000	1305000	1665000	1785000	1665000	
46	1638000	1662000	1302000	1782000	1782000	1662000	
47	1659000	1659000	1419000	1779000	1779000	1659000	
48	1728000	1776000	1536000	1776000	1896000	1656000	
49	1797000	1773000	1653000	1893000	1893000	1773000	
50	1842000	1770000	1770000	2010000	1890000	1770000	
51	1839000	1767000	1767000	2007000	1887000	1767000	
52	1884000	1884000	1764000	2124000	1884000	1764000	
53	1929000	1881000	1881000	2241000	1881000	1761000	
54	1950000	1878000	1878000	2358000	1878000	1758000	
55	1971000	1875000	1995000	2355000	1875000	1755000	
56	2016000	1872000	1992000	2352000	1992000	1872000	
57	2085000	1989000	2109000	2349000	2109000	1869000	
58	2130000	2106000	2226000	2346000	2106000	1866000	
59	2151000	2223000	2223000	2343000	2103000	1863000	
60	2220000	2340000	2220000	2340000	2220000	1980000	
61	2265000	2457000	2217000	2457000	2217000	1977000	
62	2358000	2574000	2334000	2574000	2334000	1974000	
63	2451000	2691000	2451000	2691000	2331000	2091000	
64	2496000	2808000	2568000	2688000	2328000	2088000	
65	2493000	2805000	2565000	2685000	2325000	2085000	
66	2562000	2922000	2562000	2802000	2442000	2082000	
67	2655000	3039000	2679000	2799000	2559000	2199000	
68	2748000	3156000	2796000	2796000	2676000	2316000	
69	2793000	3153000	2793000	2793000	2793000	2433000	
70	2862000	3270000	2790000	2910000	2910000	2430000	
71	2907000	3267000	2787000	2907000	3027000	2547000	
72	3e+06	3384000	2784000	3024000	3144000	2664000	
73	3021000	3381000	2901000	3021000	3141000	2661000	
74	3090000	3378000	3018000	3138000	3258000	2658000	
75	3135000	3375000	3015000	3135000	3375000	2775000	
76	3156000	3372000	3132000	3132000	3372000	2772000	
77	3249000	3489000	3249000	3249000	3369000	2889000	
78	3318000	3606000	3366000	3366000	3366000	2886000	
79	3315000	3603000	3363000	3363000	3363000	2883000	
80	3360000	3720000	3360000	3480000	3360000	2880000	
81	3429000	3717000	3357000	3597000	3477000	2997000	
82	3474000	3834000	3354000	3594000	3594000	2994000	
83	3519000	3831000	3471000	3591000	3711000	2991000	
84	3540000	3828000	3588000	3588000	3708000	2988000	
85	3633000	3945000	3705000	3585000	3825000	3105000	
86	3702000	3942000	3702000	3702000	3942000	3222000	
87	3747000	3939000	3819000	3699000	4059000	3219000	
88	3744000	3936000	3816000	3696000	4056000	3216000	
89	3765000	3933000	3933000	3693000	4053000	3213000	
90	3810000	4050000	3930000	3810000	4050000	3210000	
91	3855000	4047000	3927000	3807000	4167000	3327000	
92	3900000	4164000	3924000	3804000	4164000	3444000	
93	3945000	4161000	3921000	3921000	4281000	3441000	
94	4014000	4278000	3918000	4038000	4398000	3438000	
95	4035000	4275000	3915000	4155000	4395000	3435000	
96	4104000	4392000	4032000	4152000	4512000	3432000	
97	4197000	4509000	4149000	4269000	4629000	3429000	
98	4266000	4506000	4266000	4266000	4746000	3546000	
99	4263000	4503000	4263000	4263000	4743000	3543000	
100	4332000	4620000	4380000	4260000	4860000	3540000	
101	4353000	4617000	4377000	4257000	4857000	3657000	
102	4398000	4614000	4374000	4374000	4854000	3774000	
103	4443000	4611000	4371000	4371000	4971000	3891000	
104	4512000	4608000	4488000	4488000	5088000	3888000	
105	4557000	4605000	4485000	4485000	5205000	4005000	
106	4602000	4602000	4602000	4482000	5202000	4122000	
107	4623000	4599000	4599000	4479000	5319000	4119000	
108	4644000	4596000	4596000	4596000	5316000	4116000	
109	4713000	4713000	4593000	4593000	5433000	4233000	
110	4758000	4710000	4590000	4710000	5430000	4350000	
111	4803000	4707000	4587000	4827000	5427000	4467000	
112	4824000	4704000	4704000	4824000	5424000	4464000	
113	4893000	4701000	4701000	4941000	5541000	4581000	
114	4914000	4698000	4818000	4938000	5538000	4578000	
115	4935000	4695000	4935000	4935000	5535000	4575000	
116	4932000	4692000	4932000	4932000	5532000	4572000	
117	4977000	4689000	4929000	4929000	5649000	4689000	
118	5022000	4686000	4926000	5046000	5766000	4686000	
119	5067000	4683000	4923000	5163000	5883000	4683000	
120	5112000	4800000	4920000	5280000	5880000	4680000	
121	5181000	4917000	5037000	5277000	5877000	4797000	
122	5250000	4914000	5154000	5274000	5994000	4914000	
123	5319000	4911000	5271000	5391000	5991000	5031000	
124	5340000	5028000	5268000	5388000	5988000	5028000	
125	5385000	5145000	5265000	5385000	6105000	5025000	
126	5454000	5142000	5262000	5502000	6222000	5142000	
127	5499000	5139000	5259000	5619000	6219000	5259000	
128	5520000	5136000	5256000	5616000	6216000	5376000	
129	5565000	5133000	5253000	5613000	6333000	5493000	
130	5634000	5130000	5370000	5730000	6450000	5490000	
131	5679000	5127000	5487000	5727000	6567000	5487000	
132	5724000	5124000	5484000	5844000	6564000	5604000	
133	5769000	5121000	5481000	5961000	6681000	5601000	
134	5790000	5238000	5478000	5958000	6678000	5598000	
135	5835000	5355000	5475000	5955000	6795000	5595000	
136	5904000	5352000	5472000	6072000	6912000	5712000	
137	5973000	5349000	5589000	6189000	7029000	5709000	
138	6018000	5346000	5706000	6186000	7026000	5826000	
139	6015000	5343000	5703000	6183000	7023000	5823000	
140	6084000	5460000	5700000	6300000	7020000	5940000	
141	6081000	5457000	5697000	6297000	7017000	5937000	
142	6102000	5574000	5694000	6294000	7014000	5934000	
143	6171000	5691000	5811000	6291000	7011000	6051000	
144	6240000	5808000	5808000	6408000	7008000	6168000	
145	6237000	5805000	5805000	6405000	7005000	6165000	
146	6306000	5802000	5922000	6522000	7002000	6282000	
147	6375000	5919000	6039000	6519000	6999000	6399000	
148	6396000	5916000	6036000	6516000	6996000	6516000	
149	6417000	6033000	6033000	6513000	6993000	6513000	
150	6414000	6030000	6030000	6510000	6990000	6510000	
151	6459000	6027000	6147000	6507000	7107000	6507000	
152	6504000	6024000	6144000	6624000	7104000	6624000	
153	6525000	6021000	6141000	6741000	7101000	6621000	
154	6594000	6138000	6138000	6858000	7218000	6618000	
155	6615000	6255000	6135000	6855000	7215000	6615000	
156	6660000	6252000	6132000	6972000	7212000	6732000	
157	6729000	6249000	6249000	6969000	7329000	6849000	
158	6750000	6246000	6366000	6966000	7326000	6846000	
159	6747000	6243000	6363000	6963000	7323000	6843000	
160	6768000	6360000	6360000	6960000	7320000	6840000	
161	6861000	6477000	6357000	7077000	7437000	6957000	
162	6930000	6594000	6474000	7194000	7434000	6954000	
163	6999000	6591000	6591000	7311000	7431000	7071000	
164	7068000	6708000	6708000	7428000	7428000	7068000	
165	7089000	6825000	6705000	7425000	7425000	7065000	
166	7110000	6942000	6702000	7422000	7422000	7062000	
