envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
123	5487000	5991000	5511000	5391000	4911000	5631000	
124	5556000	6108000	5508000	5508000	5028000	5628000	
125	5673000	6225000	5625000	5625000	5145000	5745000	
126	5742000	6342000	5742000	5622000	5142000	5862000	
127	5811000	6339000	5859000	5739000	5259000	5859000	
128	5904000	6456000	5976000	5736000	5376000	5976000	
129	5925000	6453000	5973000	5733000	5373000	6093000	
130	5970000	6450000	5970000	5730000	5490000	6210000	
131	6015000	6447000	6087000	5727000	5607000	6207000	
132	6060000	6444000	6084000	5844000	5604000	6324000	
133	6081000	6441000	6201000	5841000	5601000	6321000	
134	6174000	6558000	6318000	5958000	5718000	6318000	
135	6291000	6675000	6435000	6075000	5835000	6435000	
136	6384000	6792000	6432000	6192000	5952000	6552000	
137	6453000	6789000	6549000	6309000	6069000	6549000	
138	6474000	6786000	6666000	6306000	6066000	6546000	
139	6519000	6783000	6663000	6423000	6183000	6543000	
140	6612000	6900000	6660000	6540000	6300000	6660000	
141	6657000	7017000	6657000	6657000	6297000	6657000	
142	6678000	7014000	6774000	6654000	6294000	6654000	
143	6699000	7011000	6771000	6651000	6291000	6771000	
144	6744000	7008000	6768000	6768000	6408000	6768000	
145	6789000	7005000	6885000	6765000	6525000	6765000	
146	6786000	7002000	6882000	6762000	6522000	6762000	
147	6831000	6999000	6999000	6759000	6639000	6759000	
148	6900000	7116000	7116000	6756000	6636000	6876000	
149	6945000	7233000	7113000	6753000	6633000	6993000	
150	7014000	7230000	7230000	6750000	6750000	7110000	
151	7011000	7227000	7227000	6747000	6747000	7107000	
152	7080000	7224000	7344000	6744000	6864000	7224000	
153	7101000	7341000	7341000	6741000	6861000	7221000	
154	7170000	7458000	7458000	6738000	6858000	7338000	
155	7191000	7575000	7455000	6735000	6855000	7335000	
156	7260000	7572000	7452000	6852000	6972000	7452000	
157	7305000	7689000	7449000	6969000	6969000	7449000	
158	7374000	7806000	7446000	7086000	7086000	7446000	
159	7395000	7923000	7443000	7083000	7083000	7443000	
160	7392000	7920000	7440000	7080000	7080000	7440000	
161	7461000	8037000	7437000	7077000	7197000	7557000	
162	7506000	8154000	7434000	7074000	7314000	7554000	
163	7575000	8151000	7551000	7191000	7431000	7551000	
164	7644000	8268000	7668000	7188000	7428000	7668000	
165	7713000	8385000	7665000	7185000	7545000	7785000	
166	7758000	8502000	7662000	7182000	7662000	7782000	
167	7851000	8619000	7779000	7299000	7779000	7779000	
168	7920000	8616000	7896000	7416000	7776000	7896000	
169	7965000	8733000	7893000	7413000	7893000	7893000	
170	8010000	8730000	7890000	7410000	8010000	8010000	
171	8103000	8847000	8007000	7527000	8127000	8007000	
172	8100000	8844000	8004000	7524000	8124000	8004000	
173	8169000	8841000	8001000	7641000	8241000	8121000	
174	8214000	8838000	8118000	7638000	8238000	8238000	
175	8259000	8955000	8115000	7635000	8235000	8355000	
176	8328000	9072000	8112000	7632000	8352000	8472000	
177	8397000	9189000	8229000	7749000	8349000	8469000	
178	8442000	9186000	8346000	7746000	8466000	8466000	
