envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	15000	-9000	-9000	-9000	111000	-9000	
4	12000	-12000	-12000	-12000	108000	-12000	
5	33000	-15000	-15000	105000	105000	-15000	
6	30000	-18000	-18000	102000	102000	-18000	
7	51000	-21000	-21000	99000	219000	-21000	
8	48000	-24000	-24000	96000	216000	-24000	
9	69000	-27000	-27000	213000	213000	-27000	
10	90000	-30000	-30000	210000	330000	-30000	
11	135000	-33000	87000	207000	447000	-33000	
12	156000	-36000	84000	324000	444000	-36000	
13	153000	-39000	81000	321000	441000	-39000	
14	198000	-42000	198000	438000	438000	-42000	
15	243000	75000	195000	435000	435000	75000	
16	264000	192000	192000	432000	432000	72000	
17	309000	309000	189000	549000	429000	69000	
18	330000	306000	186000	546000	426000	186000	
19	351000	303000	303000	543000	423000	183000	
20	372000	420000	3e+05	540000	420000	180000	
21	489000	537000	417000	657000	537000	297000	
22	558000	654000	534000	774000	534000	294000	
23	555000	651000	531000	771000	531000	291000	
24	672000	768000	648000	888000	648000	408000	
25	693000	765000	765000	885000	645000	405000	
26	714000	762000	762000	882000	762000	402000	
27	783000	879000	879000	879000	759000	519000	
28	780000	876000	876000	876000	756000	516000	
29	801000	993000	873000	873000	753000	513000	
30	870000	1110000	870000	990000	750000	630000	
31	915000	1227000	867000	1107000	747000	627000	
32	936000	1224000	864000	1104000	864000	624000	
33	981000	1221000	861000	1101000	981000	741000	
34	1002000	1218000	978000	1098000	978000	738000	
35	999000	1215000	975000	1095000	975000	735000	
36	1068000	1332000	1092000	1092000	1092000	732000	
37	1113000	1449000	1209000	1089000	1089000	729000	
38	1158000	1446000	1326000	1086000	1086000	846000	
39	1227000	1563000	1323000	1203000	1083000	963000	
40	1272000	1560000	1440000	1200000	1080000	1080000	
41	1317000	1557000	1437000	1317000	1077000	1197000	
42	1338000	1674000	1434000	1314000	1074000	1194000	
43	1407000	1791000	1431000	1431000	1071000	1311000	
44	1476000	1908000	1428000	1548000	1068000	1428000	
45	1521000	2025000	1425000	1545000	1065000	1545000	
46	1566000	2022000	1542000	1542000	1182000	1542000	
47	1611000	2019000	1659000	1539000	1179000	1659000	
48	1680000	2016000	1776000	1536000	1296000	1776000	
49	1749000	2013000	1893000	1533000	1413000	1893000	
50	1794000	2010000	1890000	1650000	1410000	2010000	
51	1815000	2007000	2007000	1647000	1407000	2007000	
52	1884000	2124000	2004000	1764000	1524000	2004000	
53	1953000	2241000	2001000	1761000	1641000	2121000	
54	1974000	2238000	1998000	1878000	1638000	2118000	
55	1995000	2235000	1995000	1875000	1755000	2115000	
56	2016000	2352000	1992000	1872000	1752000	2112000	
57	2085000	2469000	2109000	1989000	1749000	2109000	
58	2082000	2466000	2106000	1986000	1746000	2106000	
59	2127000	2583000	2103000	1983000	1743000	2223000	
60	2196000	2700000	2100000	2100000	1740000	2340000	
61	2241000	2817000	2217000	2097000	1737000	2337000	
62	2286000	2934000	2334000	2094000	1734000	2334000	
63	2355000	3051000	2331000	2091000	1851000	2451000	
64	2376000	3048000	2448000	2088000	1848000	2448000	
65	2397000	3045000	2445000	2085000	1965000	2445000	
66	2490000	3162000	2442000	2202000	2082000	2562000	
67	2511000	3159000	2559000	2199000	2079000	2559000	
68	2580000	3156000	2676000	2196000	2196000	2676000	
69	2673000	3273000	2793000	2313000	2313000	2673000	
