fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230908 002602	1453	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	921	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.210039854042882	0.648113759392765	415	34490	12385	68953665.6671664	1
20230908 002848	1453	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	108	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.101462577702877	0.571753134236561	478	41005	13259	63797032.9835082	2
20230908 003829	1453	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1367	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.164713196618912	0.436822560173976	626	26362	11952	68792815.5922039	3
20230908 003959	1453	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	123	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.057736334222522	0.696752096992146	97	33985	13057	64389599.7001499	4
20230908 004506	1453	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	670	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.233969414455499	0.284040624643926	673	16512	12900	67766146.9265367	5
20230908 004726	1453	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	152	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.0217664614826031	0.809260890107984	955	11515	12908	64534890.5547226	6
20230908 005154	1453	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	363	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.155260791788866	0.452162932524927	991	20048	10628	69223046.4767616	7
20230908 005757	1453	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2239	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.108843362814379	0.911012986931182	340	48686	13885	67703440.7796102	8
20230908 010052	1453	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	366	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.179112183046605	0.814683904279053	154	5192	12467	68859089.9550225	9
20230908 010343	1453	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	491	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.0393694684657616	0.0773835994193013	13	15028	14042	67339247.3763118	10
20230908 010749	1453	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	473	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.13006486897671	0.195112400565181	714	2595	11161	67836160.4197901	11
20230908 011908	1453	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1937	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.229793907786285	0.352576062896742	252	46115	13544	68303472.2638681	12
20230908 012214	1453	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	736	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.274257848924755	0.945928959423495	864	24423	10780	67681769.1154423	13
20230908 012411	1453	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.256988819292438	0.223512239863466	294	8677	13453	65146427.2863568	14
20230908 012526	1453	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	51	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.290106627194252	0.0625461552296999	785	38564	14737	61971128.9355322	15
20230908 012826	1453	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	66	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.0778121775388562	0.535183618039752	563	30323	14102	62304614.6926537	16
20230908 013416	1453	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	591	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.190977543223266	0.456275744822514	993	13607	11925	68399392.8035982	17
20230908 013838	1453	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1185	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.164434187573947	0.800386002654233	840	23138	11615	68013470.7646177	18
20230908 014548	1453	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1049	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.158815587084383	0.311095713755497	1024	18030	12025	69181131.934033	19
20230908 014820	1453	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	470	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.223195410558989	0.835747037285691	183	19431	14035	66465194.9025487	20
